order_id,country,city,category,subscription,promised_eta,actual_eta,traffic,weather,peak_hour,customer_rating,refund_given,compensation_given,eta_failure_risk,premium_dissatisfaction
NX26,UAE,Dubai,Pharmacy,Free,46,70,High,Rain,Dinner,3,Yes,Yes,High,Low
NX27,Singapore,Singapore,Grocery,Free,50,66,High,Storm,Late Night,4,No,Yes,High,Low
NX28,UAE,Dubai,Grocery,Premium,16,28,High,Storm,Lunch,4,No,Yes,High,High
NX29,Singapore,Singapore,Grocery,Free,33,44,Medium,Rain,Dinner,4,No,Yes,High,Low
NX30,USA,New York,Food,Free,16,31,High,Rain,Breakfast,4,No,Yes,High,Low
NX31,UAE,Dubai,Pharmacy,Free,38,38,Medium,Clear,Breakfast,5,No,No,Low,Low
NX32,USA,New York,Grocery,Premium,30,41,Low,Rain,Dinner,4,No,Yes,High,High
NX33,Singapore,Singapore,Pharmacy,Premium,11,22,High,Storm,Lunch,4,No,Yes,High,High
NX34,UK,London,Food,Premium,35,43,Low,Storm,Snack,5,No,No,Low,Low
NX35,India,Mumbai,Pharmacy,Free,40,44,Medium,Clear,Lunch,5,No,No,Low,Low
NX36,Germany,Berlin,Grocery,Premium,35,42,Medium,Clear,Lunch,5,No,No,Low,Low
NX37,Australia,Sydney,Grocery,Free,46,54,Low,Rain,Breakfast,5,No,No,Low,Low
NX38,Singapore,Singapore,Pharmacy,Premium,41,64,High,Rain,Late Night,3,Yes,Yes,High,High
NX39,India,Hyderabad,Pharmacy,Free,31,32,Medium,Clear,Lunch,5,No,No,Low,Low
NX40,India,Bangalore,Pharmacy,Free,48,53,Low,Rain,Late Night,5,No,No,Low,Low
NX41,Australia,Sydney,Grocery,Premium,18,26,Low,Rain,Lunch,5,No,No,Low,Low
NX42,India,Mumbai,Pharmacy,Free,19,34,High,Rain,Lunch,4,No,Yes,High,Low
NX43,India,Bangalore,Food,Premium,36,40,Low,Storm,Breakfast,5,No,No,Low,Low
NX44,India,Mumbai,Food,Free,29,31,Low,Storm,Lunch,5,No,No,Low,Low
NX45,Germany,Berlin,Grocery,Premium,40,38,Low,Storm,Dinner,5,No,No,Low,Low
NX46,UK,London,Pharmacy,Free,49,55,Low,Clear,Breakfast,5,No,No,Low,Low
NX47,Australia,Sydney,Grocery,Premium,26,25,Low,Clear,Dinner,5,No,No,Low,Low
NX48,UK,London,Food,Premium,23,39,Medium,Rain,Lunch,4,No,Yes,High,High
NX49,Germany,Munich,Grocery,Free,27,46,High,Rain,Dinner,4,No,Yes,High,Low
NX50,UAE,Dubai,Pharmacy,Premium,24,29,Medium,Clear,Lunch,5,No,No,Low,Low
NX51,UAE,Dubai,Pharmacy,Free,15,19,Low,Storm,Snack,5,No,No,Low,Low
NX52,UK,London,Grocery,Free,30,41,High,Clear,Snack,4,No,Yes,High,Low
NX53,Germany,Berlin,Pharmacy,Free,26,38,Medium,Rain,Snack,4,No,Yes,High,Low
NX54,UAE,Dubai,Grocery,Premium,36,40,Medium,Clear,Snack,5,No,No,Low,Low
NX55,Germany,Munich,Grocery,Free,37,36,Medium,Storm,Lunch,5,No,No,Low,Low
NX56,UAE,Dubai,Grocery,Premium,25,38,High,Storm,Lunch,4,No,Yes,High,High
NX57,UAE,Dubai,Food,Premium,24,36,Medium,Rain,Breakfast,4,No,Yes,High,High
NX58,India,Mumbai,Grocery,Premium,30,38,High,Storm,Dinner,5,No,No,Low,Low
NX59,Singapore,Singapore,Grocery,Free,32,39,Low,Clear,Snack,5,No,No,Low,Low
NX60,Australia,Sydney,Pharmacy,Premium,22,37,High,Clear,Dinner,4,No,Yes,High,High
NX61,India,Bangalore,Pharmacy,Free,37,34,Medium,Clear,Snack,5,No,No,Low,Low
NX62,Germany,Berlin,Grocery,Premium,33,49,Medium,Rain,Lunch,4,No,Yes,High,High
NX63,UAE,Dubai,Grocery,Premium,16,13,Low,Clear,Snack,5,No,No,Low,Low
NX64,UK,London,Grocery,Free,23,24,Medium,Clear,Lunch,5,No,No,Low,Low
NX65,Australia,Sydney,Grocery,Free,29,33,Low,Clear,Late Night,5,No,No,Low,Low
NX66,UAE,Dubai,Pharmacy,Premium,16,31,High,Storm,Dinner,4,No,Yes,High,High
NX67,UK,London,Grocery,Free,28,36,High,Storm,Late Night,5,No,No,Low,Low
NX68,Singapore,Singapore,Grocery,Free,22,43,High,Rain,Breakfast,3,Yes,Yes,High,Low
NX69,Germany,Munich,Grocery,Premium,31,38,Medium,Clear,Dinner,5,No,No,Low,Low
NX70,USA,Chicago,Food,Premium,18,33,High,Storm,Dinner,4,No,Yes,High,High
NX71,India,Bangalore,Grocery,Free,48,55,High,Storm,Late Night,5,No,No,Low,Low
NX72,UK,London,Food,Free,15,23,High,Clear,Snack,5,No,No,Low,Low
NX73,USA,Chicago,Food,Premium,16,29,Low,Rain,Late Night,4,No,Yes,High,High
NX74,UK,London,Pharmacy,Free,46,43,Low,Clear,Lunch,5,No,No,Low,Low
NX75,Singapore,Singapore,Pharmacy,Premium,24,46,High,Rain,Lunch,3,Yes,Yes,High,High
NX76,Australia,Sydney,Pharmacy,Premium,31,31,Medium,Storm,Dinner,5,No,No,Low,Low
NX77,Germany,Berlin,Grocery,Premium,25,48,High,Rain,Dinner,3,Yes,Yes,High,High
NX78,Singapore,Singapore,Pharmacy,Premium,44,44,Low,Clear,Late Night,5,No,No,Low,Low
NX79,USA,Chicago,Food,Premium,13,14,Low,Clear,Lunch,5,No,No,Low,Low
NX80,India,Mumbai,Pharmacy,Premium,39,42,Low,Clear,Late Night,5,No,No,Low,Low
NX81,USA,New York,Pharmacy,Premium,30,42,Medium,Rain,Snack,4,No,Yes,High,High
NX82,UK,London,Food,Premium,17,30,High,Clear,Late Night,4,No,Yes,High,High
NX83,USA,Chicago,Grocery,Free,36,43,Medium,Rain,Late Night,5,No,No,Low,Low
NX84,Singapore,Singapore,Pharmacy,Free,47,62,Low,Rain,Late Night,4,No,Yes,High,Low
NX85,India,Bangalore,Food,Premium,28,25,Low,Clear,Snack,5,No,No,Low,Low
NX86,USA,Chicago,Grocery,Premium,40,54,Low,Rain,Lunch,4,No,Yes,High,High
NX87,UAE,Dubai,Food,Premium,12,14,Medium,Clear,Late Night,5,No,No,Low,Low
NX88,UK,London,Food,Free,39,50,High,Storm,Dinner,4,No,Yes,High,Low
NX89,USA,New York,Food,Free,33,44,High,Storm,Breakfast,4,No,Yes,High,Low
NX90,Australia,Sydney,Grocery,Premium,36,35,Medium,Storm,Breakfast,5,No,No,Low,Low
NX91,Singapore,Singapore,Grocery,Free,30,29,Medium,Clear,Dinner,5,No,No,Low,Low
NX92,USA,New York,Pharmacy,Premium,31,33,Low,Storm,Snack,5,No,No,Low,Low
NX93,USA,New York,Food,Free,35,33,Low,Storm,Dinner,5,No,No,Low,Low
NX94,Singapore,Singapore,Food,Free,25,42,High,Storm,Breakfast,4,No,Yes,High,Low
NX95,Germany,Berlin,Pharmacy,Premium,22,34,High,Storm,Late Night,4,No,Yes,High,High
NX96,USA,New York,Food,Premium,35,42,Low,Storm,Dinner,5,No,No,Low,Low
NX97,UAE,Dubai,Grocery,Premium,44,56,High,Clear,Lunch,4,No,Yes,High,High
NX98,UK,London,Grocery,Free,29,42,Low,Rain,Breakfast,4,No,Yes,High,Low
NX99,Singapore,Singapore,Grocery,Premium,38,62,High,Rain,Snack,3,Yes,Yes,High,High
NX100,UAE,Dubai,Pharmacy,Free,46,61,High,Storm,Dinner,4,No,Yes,High,Low
NX101,Singapore,Singapore,Food,Free,35,40,Medium,Clear,Breakfast,5,No,No,Low,Low
NX102,USA,Chicago,Grocery,Premium,16,17,Low,Storm,Snack,5,No,No,Low,Low
NX103,India,Mumbai,Pharmacy,Premium,17,25,Low,Rain,Dinner,5,No,No,Low,Low
NX104,Singapore,Singapore,Pharmacy,Premium,34,35,Medium,Clear,Late Night,5,No,No,Low,Low
NX105,Australia,Sydney,Pharmacy,Free,27,35,Medium,Rain,Snack,5,No,No,Low,Low
NX106,Germany,Berlin,Grocery,Free,43,50,Low,Rain,Breakfast,5,No,No,Low,Low
NX107,UK,London,Food,Free,49,62,High,Storm,Breakfast,4,No,Yes,High,Low
NX108,UK,London,Pharmacy,Free,17,24,Medium,Clear,Breakfast,5,No,No,Low,Low
NX109,Australia,Sydney,Grocery,Premium,23,34,Medium,Rain,Lunch,4,No,Yes,High,High
NX110,India,Bangalore,Grocery,Free,29,38,Medium,Rain,Late Night,5,No,No,Low,Low
NX111,Germany,Berlin,Pharmacy,Premium,14,13,Low,Storm,Dinner,5,No,No,Low,Low
NX112,UK,London,Grocery,Premium,38,54,Low,Rain,Snack,4,No,Yes,High,High
NX113,India,Delhi,Pharmacy,Free,23,35,Medium,Rain,Lunch,4,No,Yes,High,Low
NX114,UAE,Dubai,Food,Free,22,30,Medium,Rain,Dinner,5,No,No,Low,Low
NX115,Australia,Sydney,Food,Premium,12,17,Medium,Clear,Breakfast,5,No,No,Low,Low
NX116,USA,New York,Grocery,Free,48,52,Medium,Storm,Breakfast,5,No,No,Low,Low
NX117,Germany,Munich,Food,Free,19,30,Medium,Rain,Snack,4,No,Yes,High,Low
NX118,Germany,Munich,Pharmacy,Free,32,55,High,Rain,Dinner,3,Yes,Yes,High,Low
NX119,USA,New York,Grocery,Free,26,31,Medium,Storm,Lunch,5,No,No,Low,Low
NX120,USA,New York,Grocery,Free,19,31,Low,Rain,Breakfast,4,No,Yes,High,Low
NX121,India,Delhi,Pharmacy,Free,29,45,High,Rain,Breakfast,4,No,Yes,High,Low
NX122,India,Delhi,Grocery,Free,20,22,Low,Storm,Dinner,5,No,No,Low,Low
NX123,India,Bangalore,Pharmacy,Free,29,41,Low,Rain,Lunch,4,No,Yes,High,Low
NX124,India,Hyderabad,Pharmacy,Premium,35,34,Low,Clear,Dinner,5,No,No,Low,Low
NX125,Singapore,Singapore,Food,Premium,44,41,Medium,Clear,Lunch,5,No,No,Low,Low
NX126,Singapore,Singapore,Pharmacy,Premium,27,34,Medium,Rain,Late Night,5,No,No,Low,Low
NX127,UAE,Dubai,Food,Free,15,26,Low,Rain,Late Night,4,No,Yes,High,Low
NX128,Australia,Sydney,Grocery,Free,48,69,High,Rain,Breakfast,3,Yes,Yes,High,Low
NX129,Germany,Berlin,Grocery,Premium,20,22,Low,Storm,Snack,5,No,No,Low,Low
NX130,Singapore,Singapore,Pharmacy,Premium,26,23,Low,Storm,Lunch,5,No,No,Low,Low
NX131,Germany,Munich,Food,Free,36,48,High,Clear,Late Night,4,No,Yes,High,Low
NX132,USA,New York,Food,Premium,34,40,Low,Storm,Dinner,5,No,No,Low,Low
NX133,Australia,Sydney,Grocery,Free,45,60,Medium,Rain,Snack,4,No,Yes,High,Low
NX134,India,Hyderabad,Pharmacy,Free,28,36,High,Clear,Late Night,5,No,No,Low,Low
NX135,Singapore,Singapore,Pharmacy,Premium,24,24,Low,Clear,Snack,5,No,No,Low,Low
NX136,Germany,Munich,Pharmacy,Free,16,33,High,Rain,Breakfast,4,No,Yes,High,Low
NX137,Singapore,Singapore,Grocery,Free,31,37,Low,Storm,Breakfast,5,No,No,Low,Low
NX138,India,Mumbai,Pharmacy,Premium,21,34,High,Storm,Dinner,4,No,Yes,High,High
NX139,UAE,Dubai,Grocery,Premium,42,51,High,Storm,Late Night,5,No,No,Low,Low
NX140,UAE,Dubai,Food,Premium,26,34,Low,Storm,Lunch,5,No,No,Low,Low
NX141,USA,New York,Food,Free,33,37,Medium,Clear,Breakfast,5,No,No,Low,Low
NX142,UK,London,Pharmacy,Free,36,34,Medium,Clear,Snack,5,No,No,Low,Low
NX143,Australia,Sydney,Grocery,Premium,11,21,Low,Rain,Snack,4,No,No,Low,Low
NX144,UK,London,Grocery,Free,45,54,High,Clear,Late Night,5,No,No,Low,Low
NX145,Germany,Munich,Pharmacy,Free,20,32,High,Clear,Dinner,4,No,Yes,High,Low
NX146,USA,Chicago,Pharmacy,Free,28,31,Low,Clear,Dinner,5,No,No,Low,Low
NX147,UK,London,Grocery,Free,35,48,High,Clear,Dinner,4,No,Yes,High,Low
NX148,Germany,Munich,Food,Premium,32,43,Low,Rain,Snack,4,No,Yes,High,High
NX149,UK,London,Pharmacy,Free,43,41,Low,Clear,Breakfast,5,No,No,Low,Low
NX150,India,Hyderabad,Food,Premium,36,39,Medium,Storm,Lunch,5,No,No,Low,Low
NX151,UAE,Dubai,Pharmacy,Free,16,17,Medium,Clear,Late Night,5,No,No,Low,Low
NX152,Singapore,Singapore,Food,Free,42,49,Medium,Storm,Lunch,5,No,No,Low,Low
NX153,UAE,Dubai,Grocery,Premium,26,25,Low,Clear,Dinner,5,No,No,Low,Low
NX154,India,Bangalore,Pharmacy,Premium,32,34,Low,Storm,Late Night,5,No,No,Low,Low
NX155,Singapore,Singapore,Pharmacy,Premium,40,45,Medium,Storm,Dinner,5,No,No,Low,Low
NX156,USA,New York,Food,Free,31,48,High,Rain,Late Night,4,No,Yes,High,Low
NX157,Singapore,Singapore,Pharmacy,Premium,31,41,High,Clear,Breakfast,4,No,No,Low,Low
NX158,Australia,Sydney,Pharmacy,Free,43,43,Low,Clear,Breakfast,5,No,No,Low,Low
NX159,Australia,Sydney,Pharmacy,Premium,40,57,High,Rain,Lunch,4,No,Yes,High,High
NX160,USA,New York,Grocery,Premium,26,37,Low,Rain,Lunch,4,No,Yes,High,High
NX161,Singapore,Singapore,Pharmacy,Premium,17,34,High,Clear,Snack,4,No,Yes,High,High
NX162,UAE,Dubai,Pharmacy,Premium,28,41,Low,Rain,Dinner,4,No,Yes,High,High
NX163,India,Bangalore,Pharmacy,Premium,34,33,Low,Clear,Snack,5,No,No,Low,Low
NX164,Australia,Sydney,Pharmacy,Premium,26,34,Low,Clear,Snack,5,No,No,Low,Low
NX165,Australia,Sydney,Pharmacy,Premium,26,31,Low,Storm,Lunch,5,No,No,Low,Low
NX166,Australia,Sydney,Grocery,Free,37,60,High,Rain,Dinner,3,Yes,Yes,High,Low
NX167,Germany,Munich,Pharmacy,Premium,29,43,Medium,Rain,Late Night,4,No,Yes,High,High
NX168,UAE,Dubai,Grocery,Premium,15,19,Medium,Clear,Lunch,5,No,No,Low,Low
NX169,Australia,Sydney,Grocery,Free,22,39,High,Storm,Breakfast,4,No,Yes,High,Low
NX170,Germany,Munich,Food,Free,27,34,Low,Clear,Breakfast,5,No,No,Low,Low
NX171,Singapore,Singapore,Food,Free,27,43,Medium,Rain,Late Night,4,No,Yes,High,Low
NX172,Singapore,Singapore,Food,Free,20,25,Medium,Clear,Dinner,5,No,No,Low,Low
NX173,USA,Chicago,Food,Premium,25,26,Low,Clear,Lunch,5,No,No,Low,Low
NX174,Germany,Berlin,Grocery,Free,38,46,Low,Rain,Breakfast,5,No,No,Low,Low
NX175,Germany,Munich,Food,Premium,23,37,High,Storm,Snack,4,No,Yes,High,High
NX176,USA,Chicago,Pharmacy,Premium,33,34,Medium,Clear,Breakfast,5,No,No,Low,Low
NX177,USA,New York,Food,Premium,10,15,Low,Rain,Lunch,5,No,No,Low,Low
NX178,UK,London,Pharmacy,Free,15,13,Low,Clear,Lunch,5,No,No,Low,Low
NX179,Singapore,Singapore,Pharmacy,Premium,44,61,High,Clear,Dinner,4,No,Yes,High,High
NX180,Germany,Berlin,Pharmacy,Free,19,22,Medium,Clear,Late Night,5,No,No,Low,Low
NX181,Germany,Munich,Food,Free,28,30,Low,Storm,Dinner,5,No,No,Low,Low
NX182,UK,London,Food,Premium,16,19,Low,Storm,Snack,5,No,No,Low,Low
NX183,India,Delhi,Pharmacy,Free,30,33,Low,Storm,Breakfast,5,No,No,Low,Low
NX184,Germany,Munich,Pharmacy,Free,31,47,Medium,Rain,Dinner,4,No,Yes,High,Low
NX185,Australia,Sydney,Pharmacy,Free,31,46,Medium,Rain,Dinner,4,No,Yes,High,Low
NX186,Germany,Berlin,Food,Free,23,29,Low,Rain,Breakfast,5,No,No,Low,Low
NX187,USA,New York,Pharmacy,Free,21,29,Medium,Rain,Breakfast,5,No,No,Low,Low
NX188,Australia,Sydney,Pharmacy,Premium,41,42,Low,Clear,Dinner,5,No,No,Low,Low
NX189,India,Mumbai,Food,Premium,34,39,Medium,Rain,Late Night,5,No,No,Low,Low
NX190,UAE,Dubai,Grocery,Free,27,26,Low,Storm,Late Night,5,No,No,Low,Low
NX191,Australia,Sydney,Food,Free,50,75,High,Rain,Dinner,3,Yes,Yes,High,Low
NX192,UAE,Dubai,Pharmacy,Free,22,29,Low,Clear,Lunch,5,No,No,Low,Low
NX193,Singapore,Singapore,Pharmacy,Free,31,38,Low,Rain,Dinner,5,No,No,Low,Low
NX194,Australia,Sydney,Food,Premium,10,25,Low,Rain,Lunch,4,No,Yes,High,High
NX195,USA,New York,Food,Premium,30,29,Medium,Storm,Snack,5,No,No,Low,Low
NX196,Singapore,Singapore,Food,Free,31,39,Low,Clear,Snack,5,No,No,Low,Low
NX197,Australia,Sydney,Food,Free,18,25,Low,Storm,Breakfast,5,No,No,Low,Low
NX198,USA,New York,Food,Premium,37,59,High,Rain,Late Night,3,Yes,Yes,High,High
NX199,Australia,Sydney,Grocery,Premium,28,28,Medium,Storm,Breakfast,5,No,No,Low,Low
NX200,India,Delhi,Food,Free,44,46,Low,Clear,Breakfast,5,No,No,Low,Low
NX201,UK,London,Food,Premium,38,41,Medium,Clear,Lunch,5,No,No,Low,Low
NX202,India,Mumbai,Grocery,Premium,35,42,High,Clear,Dinner,5,No,No,Low,Low
NX203,Australia,Sydney,Pharmacy,Premium,16,17,Low,Storm,Dinner,5,No,No,Low,Low
NX204,Australia,Sydney,Grocery,Free,21,35,High,Storm,Late Night,4,No,Yes,High,Low
NX205,Singapore,Singapore,Pharmacy,Free,46,63,High,Rain,Breakfast,4,No,Yes,High,Low
NX206,Singapore,Singapore,Pharmacy,Free,18,16,Medium,Clear,Snack,5,No,No,Low,Low
NX207,Australia,Sydney,Pharmacy,Premium,28,42,High,Storm,Snack,4,No,Yes,High,High
NX208,India,Hyderabad,Pharmacy,Free,50,54,Low,Clear,Breakfast,5,No,No,Low,Low
NX209,India,Bangalore,Grocery,Premium,20,34,High,Storm,Dinner,4,No,Yes,High,High
NX210,India,Hyderabad,Pharmacy,Premium,24,37,High,Clear,Dinner,4,No,Yes,High,High
NX211,UAE,Dubai,Food,Free,30,35,Low,Clear,Late Night,5,No,No,Low,Low
NX212,UK,London,Grocery,Premium,10,16,Low,Clear,Late Night,5,No,No,Low,Low
NX213,India,Delhi,Grocery,Free,20,27,High,Storm,Late Night,5,No,No,Low,Low
NX214,Singapore,Singapore,Grocery,Premium,24,31,High,Storm,Breakfast,5,No,No,Low,Low
NX215,Australia,Sydney,Grocery,Free,19,23,Medium,Clear,Snack,5,No,No,Low,Low
NX216,Germany,Munich,Food,Premium,11,26,Medium,Rain,Dinner,4,No,Yes,High,High
NX217,India,Hyderabad,Pharmacy,Premium,41,53,High,Storm,Breakfast,4,No,Yes,High,High
NX218,UK,London,Grocery,Free,28,39,High,Storm,Late Night,4,No,Yes,High,Low
NX219,Singapore,Singapore,Pharmacy,Premium,34,45,Low,Rain,Breakfast,4,No,Yes,High,High
NX220,Singapore,Singapore,Pharmacy,Free,22,29,Medium,Rain,Dinner,5,No,No,Low,Low
NX221,UK,London,Pharmacy,Premium,13,22,High,Storm,Snack,5,No,No,Low,Low
NX222,Singapore,Singapore,Pharmacy,Premium,29,29,Low,Clear,Snack,5,No,No,Low,Low
NX223,Australia,Sydney,Grocery,Free,45,60,Medium,Rain,Dinner,4,No,Yes,High,Low
NX224,India,Delhi,Pharmacy,Premium,10,15,Medium,Rain,Dinner,5,No,No,Low,Low
NX225,Singapore,Singapore,Food,Free,44,48,Medium,Storm,Lunch,5,No,No,Low,Low
NX226,UK,London,Food,Free,38,44,Medium,Storm,Late Night,5,No,No,Low,Low
NX227,Germany,Munich,Food,Premium,21,43,High,Rain,Late Night,3,Yes,Yes,High,High
NX228,India,Bangalore,Food,Free,16,29,High,Storm,Snack,4,No,Yes,High,Low
NX229,USA,Chicago,Food,Free,37,45,High,Clear,Late Night,5,No,No,Low,Low
NX230,Australia,Sydney,Pharmacy,Free,15,17,Medium,Storm,Late Night,5,No,No,Low,Low
NX231,Germany,Munich,Food,Premium,25,29,Medium,Clear,Late Night,5,No,No,Low,Low
NX232,Germany,Munich,Pharmacy,Free,48,63,High,Rain,Snack,4,No,Yes,High,Low
NX233,India,Bangalore,Pharmacy,Free,42,60,High,Rain,Dinner,4,No,Yes,High,Low
NX234,USA,Chicago,Grocery,Premium,32,40,Medium,Storm,Breakfast,5,No,No,Low,Low
NX235,Singapore,Singapore,Grocery,Free,33,49,High,Rain,Late Night,4,No,Yes,High,Low
NX236,USA,New York,Pharmacy,Premium,29,36,High,Storm,Lunch,5,No,No,Low,Low
NX237,UAE,Dubai,Grocery,Premium,43,45,Medium,Clear,Lunch,5,No,No,Low,Low
NX238,Australia,Sydney,Pharmacy,Free,44,59,High,Clear,Late Night,4,No,Yes,High,Low
NX239,Germany,Munich,Grocery,Free,34,41,Medium,Rain,Snack,5,No,No,Low,Low
NX240,USA,Chicago,Grocery,Free,42,61,High,Rain,Breakfast,4,No,Yes,High,Low
NX241,Germany,Munich,Food,Free,48,69,High,Rain,Breakfast,3,Yes,Yes,High,Low
NX242,Australia,Sydney,Grocery,Premium,12,17,Low,Storm,Breakfast,5,No,No,Low,Low
NX243,India,Mumbai,Food,Free,30,27,Medium,Clear,Dinner,5,No,No,Low,Low
NX244,USA,Chicago,Pharmacy,Free,24,36,High,Storm,Late Night,4,No,Yes,High,Low
NX245,UK,London,Grocery,Premium,27,32,Low,Storm,Dinner,5,No,No,Low,Low
NX246,India,Mumbai,Pharmacy,Free,32,48,High,Storm,Breakfast,4,No,Yes,High,Low
NX247,Singapore,Singapore,Pharmacy,Premium,29,47,High,Rain,Breakfast,4,No,Yes,High,High
NX248,USA,Chicago,Grocery,Premium,10,16,Medium,Clear,Late Night,5,No,No,Low,Low
NX249,Singapore,Singapore,Food,Premium,40,53,Low,Rain,Late Night,4,No,Yes,High,High
NX250,Australia,Sydney,Grocery,Free,40,39,Low,Clear,Lunch,5,No,No,Low,Low
NX251,UAE,Dubai,Food,Free,32,38,Medium,Rain,Snack,5,No,No,Low,Low
NX252,Singapore,Singapore,Pharmacy,Free,32,31,Low,Clear,Breakfast,5,No,No,Low,Low
NX253,Germany,Berlin,Food,Free,47,69,High,Rain,Snack,3,Yes,Yes,High,Low
NX254,USA,Chicago,Grocery,Free,47,54,Low,Clear,Snack,5,No,No,Low,Low
NX255,UAE,Dubai,Pharmacy,Free,31,30,Medium,Clear,Breakfast,5,No,No,Low,Low
NX256,Singapore,Singapore,Pharmacy,Premium,21,29,High,Clear,Lunch,5,No,No,Low,Low
NX257,Singapore,Singapore,Pharmacy,Free,15,28,High,Storm,Breakfast,4,No,Yes,High,Low
NX258,UK,London,Pharmacy,Premium,35,48,High,Storm,Snack,4,No,Yes,High,High
NX259,UK,London,Food,Premium,13,26,Low,Rain,Late Night,4,No,Yes,High,High
NX260,Germany,Munich,Grocery,Premium,43,46,Low,Storm,Breakfast,5,No,No,Low,Low
NX261,USA,New York,Food,Premium,30,41,High,Clear,Breakfast,4,No,Yes,High,High
NX262,Germany,Munich,Pharmacy,Premium,17,15,Low,Clear,Snack,5,No,No,Low,Low
NX263,Australia,Sydney,Grocery,Free,32,58,High,Rain,Lunch,3,Yes,Yes,High,Low
NX264,UAE,Dubai,Pharmacy,Free,18,44,High,Rain,Breakfast,3,Yes,Yes,High,Low
NX265,Singapore,Singapore,Pharmacy,Free,44,61,High,Rain,Lunch,4,No,Yes,High,Low
NX266,UAE,Dubai,Food,Premium,16,34,High,Rain,Breakfast,4,No,Yes,High,High
NX267,USA,Chicago,Food,Free,23,37,Low,Rain,Breakfast,4,No,Yes,High,Low
NX268,Singapore,Singapore,Grocery,Premium,10,18,Low,Clear,Snack,5,No,No,Low,Low
NX269,India,Delhi,Grocery,Free,32,30,Low,Clear,Breakfast,5,No,No,Low,Low
NX270,Australia,Sydney,Food,Premium,30,35,Low,Clear,Late Night,5,No,No,Low,Low
NX271,Singapore,Singapore,Food,Premium,21,30,High,Storm,Snack,5,No,No,Low,Low
NX272,USA,Chicago,Grocery,Free,16,34,High,Storm,Snack,4,No,Yes,High,Low
NX273,Australia,Sydney,Grocery,Free,50,57,Low,Storm,Late Night,5,No,No,Low,Low
NX274,UAE,Dubai,Grocery,Premium,45,61,Low,Rain,Late Night,4,No,Yes,High,High
NX275,USA,Chicago,Pharmacy,Premium,36,62,High,Rain,Lunch,3,Yes,Yes,High,High
NX276,UAE,Dubai,Pharmacy,Free,21,24,Low,Clear,Dinner,5,No,No,Low,Low
NX277,Germany,Berlin,Food,Premium,30,46,High,Rain,Dinner,4,No,Yes,High,High
NX278,Germany,Berlin,Food,Free,47,53,Medium,Clear,Dinner,5,No,No,Low,Low
NX279,Australia,Sydney,Grocery,Premium,42,42,Low,Clear,Breakfast,5,No,No,Low,Low
NX280,India,Hyderabad,Pharmacy,Premium,28,50,High,Rain,Dinner,3,Yes,Yes,High,High
